path,line,lang,kind,status,component
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,409,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,418,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,423,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,429,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,435,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,442,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,449,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,455,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF.v,461,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,115,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,119,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,127,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,139,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,156,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,162,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,166,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,172,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,269,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,271,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,275,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,276,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,332,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,335,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
