kind,symbol,file,line,context_decl,detail
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/properties/MaximumAxiomElimination.v,20,,Require Import Coq.Logic.FunctionalExtensionality.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/properties/NonInterference_v2.v,33,,Require Import Coq.Logic.FunctionalExtensionality.
ParameterDecl,observer,02_FORMAL/coq/properties/NonInterference_v2.v,43,,Parameter observer : security_level.
ParameterUsage,observer,02_FORMAL/coq/properties/NonInterference_v2.v,46,,Definition is_low (l : security_level) : Prop := sec_leq l observer.
ParameterUsage,observer,02_FORMAL/coq/properties/NonInterference_v2.v,50,,sec_leq_dec l observer.
AxiomDecl,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2.v,1535,store_vals_rel_mono,"Axiom val_rel_n_step_up : forall n Σ T v1 v2,"
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2.v,1587,store_rel_n_step_up,* apply val_rel_n_step_up; [exact Hvrel_n' | exact Hty1 | exact Hty2].
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2.v,1605,store_vals_rel_step_up,apply val_rel_n_step_up.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,23,,Require Import Coq.Logic.FunctionalExtensionality.
AxiomDecl,logical_relation_declassify,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,1149,stores_agree_low_fo_update_existing,"Axiom logical_relation_declassify : forall Γ Σ Δ e T ε p rho1 rho2 n Σ_base,"
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,1171,val_rel_n_to_val_rel,- apply val_rel_n_step_up; assumption.
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,1187,val_rel_n_to_val_rel_any,exists 0. apply val_rel_n_step_up; assumption.
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,2290,val_rel_n_prod_fst,{ apply val_rel_n_step_up; [exact Hrel | |];
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,2330,val_rel_n_prod_snd,{ apply val_rel_n_step_up; [exact Hrel | |];
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,2517,val_rel_n_from_prod_fst,{ apply val_rel_n_step_up; [exact Hrel | |];
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,2591,val_rel_n_from_prod_snd,{ apply val_rel_n_step_up; [exact Hrel | |];
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,2792,val_rel_n_from_sum_inl,{ apply val_rel_n_step_up; [exact Hrel | |];
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,2845,val_rel_n_from_sum_inr,{ apply val_rel_n_step_up; [exact Hrel | |];
