scope,file,language,line,type,name
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1306,Axiom,exp_rel_step1_fst
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1318,Axiom,exp_rel_step1_snd
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1330,Axiom,exp_rel_step1_case
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1342,Axiom,exp_rel_step1_if
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1354,Axiom,exp_rel_step1_let
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1366,Axiom,exp_rel_step1_handle
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1378,Axiom,exp_rel_step1_app
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1398,Axiom,tapp_step0_complete
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1561,Axiom,val_rel_n_step_up
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1567,Axiom,store_rel_n_step_up
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1577,Axiom,val_rel_n_lam_cumulative
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1586,Axiom,val_rel_at_type_to_val_rel_ho
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2118,Axiom,logical_relation_ref
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2128,Axiom,logical_relation_deref
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2138,Axiom,logical_relation_assign
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2151,Axiom,logical_relation_declassify
