file,language,line,type,name
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,999,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1000,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1116,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1117,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1268,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,1269,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MasterTheorem.v,coq,2132,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/MultiStepInversion.v,coq,568,Axiom,store_contains_values
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,265,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,266,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,319,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,342,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,343,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,367,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceKripke.v,coq,368,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,921,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,922,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1033,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1038,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1041,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1281,Axiom,val_rel_n_to_val_rel
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1306,Axiom,exp_rel_step1_fst
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1318,Axiom,exp_rel_step1_snd
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1330,Axiom,exp_rel_step1_case
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1342,Axiom,exp_rel_step1_if
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1354,Axiom,exp_rel_step1_let
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1366,Axiom,exp_rel_step1_handle
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1378,Axiom,exp_rel_step1_app
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1398,Axiom,tapp_step0_complete
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1561,Axiom,val_rel_n_step_up
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1567,Axiom,store_rel_n_step_up
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1577,Axiom,val_rel_n_lam_cumulative
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,1586,Axiom,val_rel_at_type_to_val_rel_ho
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2118,Axiom,logical_relation_ref
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2128,Axiom,logical_relation_deref
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2138,Axiom,logical_relation_assign
